matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
619,1.10.6,6,Kieron Pollard,210,True,Ambati Rayudu,100,Ravindra Jadeja,9,False,ORTHODOX,25.877,,2,2,2,0.0,-0.287,4.678,-0.196,0.549,84.0,57.0
619,1.11.1,1,Ambati Rayudu,100,True,Kieron Pollard,210,Ben Laughlin,921,False,SEAM,37.982,,1,1,1,0.0,-0.294,5.465,-0.252,0.603,61.0,82.0
619,1.11.2,2,Kieron Pollard,210,True,Ambati Rayudu,100,Ben Laughlin,921,False,SEAM,32.202,,1,0,1,0.0,0.168,5.944,0.469,0.67,5.0,5.0
619,1.11.3,2,Kieron Pollard,210,True,Ambati Rayudu,100,Ben Laughlin,921,False,SEAM,32.933,,1,0,0,0.0,-0.13,7.653,-0.1,1.15,5.0,5.0
619,1.11.4,3,Ambati Rayudu,100,True,Kieron Pollard,210,Ben Laughlin,921,False,SEAM,35.51,c dirk nannes b ben laughlin,0,0,0,0.0,-0.452,7.049,-0.533,0.952,0.0,0.0
619,1.11.5,4,Kieron Pollard,210,True,Dwayne Smith,413,Ben Laughlin,921,False,SEAM,35.34,,0,0,0,0.0,-0.612,9.165,-0.841,0.824,32.0,41.0
619,1.11.6,5,Kieron Pollard,210,True,Dwayne Smith,413,Ben Laughlin,921,False,SEAM,35.473,,4,4,4,0.0,-0.095,4.185,0.024,0.525,91.0,57.0
619,1.11.7,6,Kieron Pollard,210,True,Dwayne Smith,413,Ben Laughlin,921,False,SEAM,32.27,,0,0,0,0.0,0.016,6.388,0.381,0.659,5.0,5.0
619,1.12.1,1,Dwayne Smith,413,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,24.434,,0,0,0,0.0,-0.199,5.505,0.091,0.584,66.0,35.0
619,1.12.2,2,Dwayne Smith,413,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,24.236,,0,0,0,0.0,-0.409,3.254,-0.237,0.489,66.0,45.0
619,1.12.3,3,Dwayne Smith,413,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,23.994,,2,2,2,0.0,-0.5,5.425,-0.473,0.673,16.0,26.0
619,1.12.4,4,Dwayne Smith,413,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,23.88,,1,1,1,0.0,-0.455,5.305,-0.262,0.711,36.0,82.0
619,1.12.5,5,Kieron Pollard,210,True,Dwayne Smith,413,Ravichandran Ashwin,8,True,OFF_SPIN,22.534,,1,1,1,0.0,-0.254,6.653,0.201,0.819,83.0,24.0
619,1.12.6,6,Dwayne Smith,413,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,21.342,c dwayne bravo b ravichandran ashwin,0,0,0,0.0,-0.559,3.038,-0.391,0.699,61.0,82.0
619,1.13.1,1,Harbhajan Singh,103,True,Kieron Pollard,210,Ravindra Jadeja,9,False,ORTHODOX,25.866,,0,0,0,0.0,-0.247,5.857,-0.194,0.803,35.0,38.0
619,1.13.2,2,Harbhajan Singh,103,True,Kieron Pollard,210,Ravindra Jadeja,9,False,ORTHODOX,24.777,,1,1,1,0.0,-0.502,3.581,-0.558,0.486,14.0,39.0
619,1.13.3,3,Kieron Pollard,210,True,Harbhajan Singh,103,Ravindra Jadeja,9,False,ORTHODOX,26.845,,0,0,0,0.0,-0.021,6.691,0.241,0.884,5.0,5.0
619,1.13.4,4,Kieron Pollard,210,True,Harbhajan Singh,103,Ravindra Jadeja,9,False,ORTHODOX,26.712,,0,0,0,0.0,-0.273,5.902,-0.217,0.612,48.0,43.0
619,1.13.5,5,Kieron Pollard,210,True,Harbhajan Singh,103,Ravindra Jadeja,9,False,ORTHODOX,28.694,,0,0,0,0.0,-0.765,8.648,-0.931,0.616,59.0,39.0
619,1.13.6,6,Kieron Pollard,210,True,Harbhajan Singh,103,Ravindra Jadeja,9,False,ORTHODOX,28.615,,6,6,6,0.0,-0.074,5.295,0.122,0.591,68.0,94.0
619,1.14.1,1,Harbhajan Singh,103,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,24.169,,0,0,0,0.0,-0.156,4.72,0.102,0.641,63.0,47.0
619,1.14.2,2,Harbhajan Singh,103,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,,,1,1,1,0.0,,,,,87.0,45.0
619,1.14.3,3,Kieron Pollard,210,True,Harbhajan Singh,103,Ravichandran Ashwin,8,True,OFF_SPIN,24.502,,1,1,1,0.0,-0.284,5.45,-0.07,0.577,34.0,32.0
619,1.14.4,4,Harbhajan Singh,103,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,23.961,,0,0,0,0.0,-0.217,5.16,0.056,0.703,64.0,42.0
619,1.14.5,5,Harbhajan Singh,103,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,24.437,,0,0,0,0.0,-0.274,3.809,-0.38,0.619,5.0,5.0
619,1.14.6,6,Harbhajan Singh,103,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,20.914,,0,0,0,0.0,-0.055,2.06,0.138,0.534,51.0,23.0
619,1.15.1,1,Kieron Pollard,210,True,Harbhajan Singh,103,Dirk Nannes,237,False,SEAM,38.338,,1,1,1,0.0,-0.025,1.443,-0.135,0.203,33.0,67.0
619,1.15.2,2,Harbhajan Singh,103,True,Kieron Pollard,210,Dirk Nannes,237,False,SEAM,40.042,,1,1,1,0.0,0.228,6.666,-0.084,0.669,82.0,19.0
619,1.15.3,3,Kieron Pollard,210,True,Harbhajan Singh,103,Dirk Nannes,237,False,SEAM,39.551,,0,0,0,0.0,0.482,11.23,-0.055,1.316,5.0,5.0
619,1.15.4,4,Kieron Pollard,210,True,Harbhajan Singh,103,Dirk Nannes,237,False,SEAM,37.349,,1,1,1,0.0,-1.099,-0.509,-1.043,0.124,12.0,40.0
619,1.15.5,5,Harbhajan Singh,103,True,Kieron Pollard,210,Dirk Nannes,237,False,SEAM,38.736,,1,1,1,0.0,0.082,7.863,-0.411,0.661,21.0,18.0
619,1.15.6,6,Kieron Pollard,210,True,Harbhajan Singh,103,Dirk Nannes,237,False,SEAM,37.95,,0,0,0,0.0,0.238,10.102,-0.458,1.128,5.0,5.0
619,1.16.1,1,Harbhajan Singh,103,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,24.263,,0,0,0,0.0,-0.425,4.518,-0.013,0.622,44.0,32.0
619,1.16.2,2,Harbhajan Singh,103,True,Kieron Pollard,210,Ravichandran Ashwin,8,True,OFF_SPIN,24.063,,1,1,1,0.0,-0.377,9.103,-0.412,0.887,75.0,70.0
619,1.16.3,3,Kieron Pollard,210,True,Harbhajan Singh,103,Ravichandran Ashwin,8,True,OFF_SPIN,23.969,,0,0,0,0.0,-0.046,5.306,0.109,0.797,48.0,41.0
619,1.16.4,4,Kieron Pollard,210,True,Harbhajan Singh,103,Ravichandran Ashwin,8,True,OFF_SPIN,24.563,,0,0,0,0.0,-0.004,6.93,0.139,0.741,53.0,42.0
619,1.16.5,5,Kieron Pollard,210,True,Harbhajan Singh,103,Ravichandran Ashwin,8,True,OFF_SPIN,24.526,,6,6,6,0.0,0.128,3.891,0.257,0.691,81.0,87.0
619,1.16.6,6,Kieron Pollard,210,True,Harbhajan Singh,103,Ravichandran Ashwin,8,True,OFF_SPIN,24.006,,0,0,0,0.0,-0.417,7.236,-0.364,0.671,48.0,41.0
619,1.17.1,1,Harbhajan Singh,103,True,Kieron Pollard,210,Dwayne Bravo,25,True,MEDIUM_SEAM,36.668,,0,0,0,0.0,-0.394,6.661,-0.129,0.793,34.0,45.0
